City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
190,Humberto De Campos,BR,-2.5983,-43.4611,72.59,97,100,4.25,overcast clouds
191,Hoopstad,ZA,-27.8327,25.9083,76.89,35,50,1.97,scattered clouds
192,Vanderhoof,CA,54.0166,-124.0198,1.49,94,100,2.95,light snow
193,Shimoda,JP,34.6667,138.95,33.1,67,31,29.55,scattered clouds
194,Shenjiamen,CN,29.9576,122.298,39.83,44,0,22.93,clear sky
195,Harper,LR,4.375,-7.7169,79.72,78,9,8.68,clear sky
196,Chokurdakh,RU,70.6333,147.9167,-15.88,89,79,4.76,broken clouds
197,Nybro,SE,56.7446,15.9071,27.41,86,51,3.44,broken clouds
198,Iqaluit,CA,63.7506,-68.5145,8.33,78,100,0.0,overcast clouds
199,Najran,SA,17.4924,44.1277,68.65,63,2,5.59,clear sky
200,Eyrarbakki,IS,63.863,-21.1481,15.85,92,100,9.89,light snow
201,Lompoc,US,34.6391,-120.4579,65.79,88,75,9.22,broken clouds
202,Pimenta Bueno,BR,-11.6725,-61.1936,82.67,82,71,4.88,broken clouds
203,Airai,TL,-8.9266,125.4092,60.21,89,100,0.96,overcast clouds
204,Vao,NC,-22.6667,167.4833,79.52,80,87,8.16,overcast clouds
205,Pisco,PE,-13.7,-76.2167,74.01,68,0,9.22,clear sky
206,Palmer,US,42.1584,-72.3287,48.61,76,100,4.0,overcast clouds
207,Mooresville,US,35.5849,-80.8101,28.2,38,0,5.01,clear sky
208,Sao Felix Do Xingu,BR,-6.6447,-51.995,80.53,84,69,2.28,broken clouds
209,Broken Hill,AU,-31.95,141.4333,69.75,44,3,11.92,clear sky
210,Yumaguzino,RU,52.9041,56.3933,28.15,96,100,8.52,light snow
211,Maun,BW,-19.9833,23.4167,76.96,44,0,2.3,clear sky
212,Requena,ES,39.4883,-1.1004,50.63,81,95,7.09,overcast clouds
213,Sisimiut,GL,66.9395,-53.6735,9.75,62,32,10.56,scattered clouds
214,Samur,RU,41.8253,48.486,42.93,74,6,1.39,clear sky
