City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
190,Mar Del Plata,AR,2022-12-18 19:36:28,-38.0023,-57.5575,78.84,74,75,28.99
191,Gatton,AU,2022-12-18 19:36:29,-27.55,152.2833,62.22,78,61,3.58
192,Strezhevoy,RU,2022-12-18 19:36:31,60.7333,77.5889,-0.29,98,60,8.81
193,Burnie,AU,2022-12-18 19:36:31,-41.0667,145.9167,51.94,89,2,3.29
194,Flin Flon,CA,2022-12-18 19:36:32,54.7682,-101.865,-13.16,70,75,9.22
195,Innisfail,AU,2022-12-18 19:32:42,-17.5333,146.0333,76.69,83,84,8.84
196,Dingle,PH,2022-12-18 19:36:33,10.9995,122.6711,75.24,92,100,7.29
197,Maragogi,BR,2022-12-18 19:36:34,-9.0122,-35.2225,80.15,64,5,9.86
198,Khatra,IN,2022-12-18 19:36:35,22.9833,86.85,59.2,42,22,5.91
199,Tarnos,FR,2022-12-18 19:36:24,43.5417,-1.4628,62.1,51,0,10.36
200,Castro,BR,2022-12-18 19:36:36,-24.7911,-50.0119,68.34,80,100,7.25
201,Saint-Pierre,RE,2022-12-18 19:36:36,-21.3393,55.4781,78.48,73,20,3.44
202,Letlhakane,BW,2022-12-18 19:36:37,-21.4167,25.5833,80.64,42,38,5.95
203,Kaitangata,NZ,2022-12-18 19:36:38,-46.2817,169.8464,54.01,71,29,3.51
204,Darhan,MN,2022-12-18 19:36:38,49.4867,105.9228,-7.78,94,11,2.91
205,Tsubata,JP,2022-12-18 19:36:40,36.6667,136.7333,36.77,80,100,13.98
206,Grindavik,IS,2022-12-18 19:36:41,63.8424,-22.4338,19.87,68,20,27.63
207,Hasaki,JP,2022-12-18 19:36:42,35.7333,140.8333,32.4,30,59,8.28
208,Sitka,US,2022-12-18 19:36:43,57.0531,-135.33,21.09,38,0,10.36
209,Leningradskiy,RU,2022-12-18 19:36:44,69.3833,178.4167,14.14,86,86,11.81
210,Healesville,AU,2022-12-18 19:36:45,-37.65,145.5167,52.7,68,0,1.72
211,Guerrero Negro,MX,2022-12-18 19:36:46,27.9769,-114.0611,67.14,40,1,10.11
212,Algiers,DZ,2022-12-18 19:35:19,36.7525,3.042,53.42,94,20,5.75
213,Grand Gaube,MU,2022-12-18 19:36:47,-20.0064,57.6608,78.39,69,99,5.99
214,Akyab,MM,2022-12-18 19:36:48,20.15,92.9,71.92,86,83,6.96
215,Kholodnyy,RU,2022-12-18 19:36:48,62.7167,147.95,-6.39,97,100,3.74
216,Manavalakurichi,IN,2022-12-18 19:36:49,8.1333,77.3,77.02,77,96,9.64
217,Misawa,JP,2022-12-18 19:36:50,40.6836,141.3597,23.61,79,28,13.98
218,Salinopolis,BR,2022-12-18 19:36:50,-0.6136,-47.3561,81.7,75,35,10.22
219,Sambava,MG,2022-12-18 19:36:51,-14.2667,50.1667,75.34,88,50,5.03
220,Zhuzhou,CN,2022-12-18 19:36:52,27.8333,113.15,37.53,41,54,2.98
221,Gillette,US,2022-12-18 19:36:53,44.2911,-105.5022,13.05,83,100,7.0
222,Mangrol,IN,2022-12-18 19:36:53,21.1167,70.1167,74.91,44,8,8.95
223,Souillac,MU,2022-12-18 19:37:55,-20.5167,57.5167,77.38,78,40,12.66
224,Lavrentiya,RU,2022-12-18 19:37:56,65.5833,-171.0,11.91,77,3,7.29
225,Pasni,PK,2022-12-18 19:37:57,25.2631,63.471,71.13,35,3,19.01
226,Rocha,UY,2022-12-18 19:37:57,-34.4833,-54.3333,75.36,39,1,18.05
227,Juba,SS,2022-12-18 19:37:58,4.8517,31.5825,82.18,39,92,3.98
228,Sangar,RU,2022-12-18 19:37:59,63.9242,127.4739,-31.5,98,100,1.39
229,Noumea,NC,2022-12-18 19:37:59,-22.2763,166.4572,80.01,99,5,5.59
230,Takoradi,GH,2022-12-18 19:38:00,4.8845,-1.7554,79.81,82,9,9.46
231,Ancud,CL,2022-12-18 19:38:01,-41.8697,-73.8203,60.64,58,100,5.97
232,Khilok,RU,2022-12-18 19:38:02,51.3674,110.4676,-8.45,98,57,3.27
233,Dawlatabad,AF,2022-12-18 19:38:02,36.4141,64.9053,43.92,57,19,2.82
234,North Bend,US,2022-12-18 19:38:03,43.4065,-124.2243,48.07,76,100,10.36
235,Bahia Blanca,AR,2022-12-18 19:38:04,-38.7196,-62.2724,90.28,19,87,1.99
236,Sinazongwe,ZM,2022-12-18 19:34:14,-17.2614,27.4618,75.04,81,100,3.04
237,Quatre Cocos,MU,2022-12-18 19:38:05,-20.2078,57.7625,78.1,78,92,14.36
238,San Ramon,US,2022-12-18 19:38:06,37.7799,-121.978,54.68,75,0,4.0
239,Komsomolskiy,UZ,2022-12-18 19:38:06,40.4272,71.7189,29.12,86,100,4.61
240,Vila Franca Do Campo,PT,2022-12-18 19:38:07,37.7167,-25.4333,64.2,87,100,22.44
241,Tashla,RU,2022-12-18 19:38:08,51.7716,52.7427,33.73,86,100,15.19
242,Barcelona,ES,2022-12-18 19:38:09,41.3888,2.159,57.85,81,0,5.75
243,Emerald,AU,2022-12-18 19:38:10,-23.5333,148.1667,66.34,85,27,10.11
244,Marsaxlokk,MT,2022-12-18 19:38:11,35.8419,14.5431,60.08,88,20,6.91
245,Rostovka,RU,2022-12-18 19:38:12,55.3842,71.8891,15.98,95,100,11.16
246,Manokwari,ID,2022-12-18 19:38:12,-0.8667,134.0833,75.56,90,100,4.23
247,Quelimane,MZ,2022-12-18 19:38:13,-17.8786,36.8883,84.15,70,75,9.22
248,Araouane,ML,2022-12-18 19:38:14,18.9048,-3.5265,74.62,13,26,10.47
249,Nadudvar,HU,2022-12-18 19:38:16,47.4167,21.1667,26.82,73,7,4.56
250,Phalaborwa,ZA,2022-12-18 19:38:16,-23.943,31.1411,74.07,77,79,12.57
251,Dubovka,RU,2022-12-18 19:38:17,49.0583,44.829,40.15,99,100,9.71
252,Coruripe,BR,2022-12-18 19:35:08,-10.1256,-36.1756,80.19,66,8,12.3
253,Basoda,IN,2022-12-18 19:38:18,23.85,77.9333,57.56,36,1,2.75
254,Atambua,ID,2022-12-18 19:38:19,-9.1061,124.8925,72.57,84,51,2.13
255,Unity,CA,2022-12-18 19:38:20,52.4501,-109.1682,-5.75,94,100,8.86
256,Bambous Virieux,MU,2022-12-18 19:38:21,-20.3428,57.7575,78.22,78,40,12.66
257,Snezhnogorsk,RU,2022-12-18 19:38:21,69.1933,33.2531,11.98,97,67,10.09
258,Broome,US,2022-12-18 19:38:22,42.2506,-75.833,32.7,81,100,10.36
259,Saint Anthony,US,2022-12-18 19:38:23,45.0205,-93.218,10.24,74,0,11.5
260,Bethel,US,2022-12-18 19:38:24,41.3712,-73.414,40.01,57,20,10.36
261,Le Vauclin,MQ,2022-12-18 19:38:25,14.5452,-60.8388,84.25,65,75,19.57
262,Camargo,MX,2022-12-18 19:38:26,27.6667,-105.1667,71.01,18,2,9.8
263,Bukama,CD,2022-12-18 19:38:26,-9.2,25.85,69.46,95,89,1.7
264,Cabedelo,BR,2022-12-18 19:38:27,-6.9811,-34.8339,84.87,66,84,10.76
265,Lasa,IT,2022-12-18 19:38:28,46.6166,10.7002,27.48,37,25,2.42
266,Turukhansk,RU,2022-12-18 19:38:28,65.8167,87.9833,-7.47,99,99,2.91
267,Lompoc,US,2022-12-18 19:38:29,34.6391,-120.4579,63.84,49,0,3.0
268,Sayan,PE,2022-12-18 19:38:29,-11.1361,-77.1933,78.26,59,100,10.16
269,Srednekolymsk,RU,2022-12-18 19:38:30,67.45,153.6833,-4.02,99,100,2.46
270,Aguai,BR,2022-12-18 19:38:31,-22.0594,-46.9786,85.3,58,96,4.18
271,Sao Joao Da Barra,BR,2022-12-18 19:38:33,-21.6403,-41.0511,78.89,87,92,14.05
272,Dingtao,CN,2022-12-18 19:39:33,35.0683,115.5625,28.04,31,0,4.09
273,Hualmay,PE,2022-12-18 19:39:34,-11.0964,-77.6139,73.56,71,100,8.9
274,Alta Floresta,BR,2022-12-18 19:39:35,-9.8756,-56.0861,76.12,89,97,0.92
275,Gat,IL,2022-12-18 19:39:36,31.61,34.7642,66.88,38,0,7.38
276,Hurricane,US,2022-12-18 19:39:37,37.1753,-113.2899,46.6,31,71,2.86
277,Nuuk,GL,2022-12-18 19:39:38,64.1835,-51.7216,25.41,58,20,1.14
278,Oslo,NO,2022-12-18 19:36:10,59.9127,10.7461,27.66,95,100,1.95
279,Goya,AR,2022-12-18 19:39:39,-29.14,-59.2626,91.85,19,21,5.59
280,Qaqortoq,GL,2022-12-18 19:39:40,60.7167,-46.0333,10.44,66,20,8.3
281,Gornopravdinsk,RU,2022-12-18 19:39:42,60.05,69.9,9.36,91,100,6.31
282,Kindu,CD,2022-12-18 19:39:42,-2.95,25.95,70.21,94,100,2.26
283,Klyuchevskiy,RU,2022-12-18 19:39:43,53.5317,119.4519,-28.79,94,5,3.67
284,Barghat,IN,2022-12-18 19:39:43,22.0333,79.7167,57.11,35,91,6.67
285,Kadiri,IN,2022-12-18 19:39:44,14.1167,78.1667,66.09,91,79,4.27
286,Maraba,BR,2022-12-18 19:39:45,-5.3686,-49.1178,87.98,70,40,9.22
287,Baeza,ES,2022-12-18 19:39:46,37.9938,-3.471,48.27,65,70,2.91
288,Aras,ES,2022-12-18 19:39:46,42.5617,-2.356,45.75,93,40,2.3
289,San Joaquin,US,2022-12-18 19:39:47,37.9333,-121.3011,51.85,93,100,3.44
290,Hofn,IS,2022-12-18 19:39:48,64.2539,-15.2082,21.24,69,100,24.4
291,Smoky Lake,CA,2022-12-18 19:39:48,54.1169,-112.4686,-5.08,77,100,9.22
292,Portland,US,2022-12-18 19:36:48,45.5234,-122.6762,43.81,89,75,6.91
293,Lincoln,US,2022-12-18 19:39:51,40.8,-96.667,34.18,60,0,8.05
294,Nuqui,CO,2022-12-18 19:39:51,5.7125,-77.2708,78.82,84,100,6.98
